Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Day,Reopen Zero Flag,Time to Response Hours,Processing Time Hours,Total Time Hours,KPI_breach,Week
CR-97,Unauthorized access attempt detected: IP flagged as suspicious.,Failure,Jan,Captain America,Avengers,Service B,Closed,Low,High,Medium,High,2025-01-01T13:45:30.000000,2025-01-01T18:58:55.000000,2025-01-02T02:55:56.000000,1,Wednesday,0,5.223611111111111,7.950277777777778,13.17388888888889,0,2025-01
CR-98,ARP spoofing detected: Network traffic rerouted.,Complaint,Martin,Peter,Matrix,Service B,Closed,Medium,Medium,High,Medium,2025-01-01T05:15:46.000000,2025-01-01T08:13:44.000000,2025-01-02T07:22:17.000000,1,Wednesday,0,2.966111111111111,23.1425,26.10861111111111,0,2025-01
CR-99,Failed encryption process: Unable to secure sensitive data.,Complaint,Iron Man,Thor,Avengers II,Service C,Closed,High,Medium,Medium,High,2025-01-01T00:21:31.000000,2025-01-01T04:39:33.000000,2025-01-01T23:39:20.000000,1,Wednesday,0,4.3005555555555555,18.996388888888887,23.296944444444446,0,2025-01
CR-100,Failed SSO login: Invalid credentials provided.,Data,Iron Man,Captain America,Avengers II,Service C,Closed,Low,Medium,Low,High,2025-01-01T14:36:27.000000,2025-01-01T22:43:56.000000,2025-01-03T04:00:19.000000,1,Wednesday,0,8.124722222222223,29.273055555555555,37.397777777777776,1,2025-01
CR-101,Breach alert: Privileged credentials exposed.,Hardware,Iron Man,Martin,Avengers II,Service C,On Hold,Low,Medium,High,Medium,2025-01-01T01:57:58.000000,,,0,Wednesday,1,,,,0,2025-01
CR-102,Suspicious login activity detected: High volume of logins from Device B.,Access,Martin,Martin,Avengers II,Service A,In Progress,Low,Medium,High,Medium,2025-01-01T22:39:15.000000,2025-01-02T03:38:39.000000,,0,Wednesday,1,4.99,,,0,2025-01
CR-103,Critical system alert: Root access attempted on production server.,Data,Iron Man,Peter,Avengers II,Service B,Closed,High,Medium,High,Medium,2025-01-01T09:17:13.000000,2025-01-01T11:38:59.000000,2025-01-03T02:07:37.000000,0,Wednesday,1,2.3627777777777776,38.477222222222224,40.84,1,2025-01
CR-104,Locked account: Excessive password retry attempts.,Hardware,Captain America,Peter,Avengers,Service C,Closed,Medium,Medium,High,Medium,2025-01-01T22:32:49.000000,2025-01-02T06:28:12.000000,2025-01-03T07:28:22.000000,0,Wednesday,1,7.923055555555556,25.002777777777776,32.92583333333334,1,2025-01
CR-105,Critical alert: Database server overload detected.,Facilities,Captain America,Michal,Avengers,Service B,Closed,Low,High,High,Medium,2025-01-01T23:33:54.000000,2025-01-02T04:58:38.000000,2025-01-04T00:03:49.000000,0,Wednesday,1,5.412222222222222,43.08638888888889,48.49861111111111,1,2025-01
CR-106,Malware detected on endpoint: Quarantine initiated.,Failure,Martin,Peter,Avengers,Service B,Closed,Medium,Medium,High,Low,2025-01-01T05:03:36.000000,2025-01-01T13:16:32.000000,2025-01-03T05:08:31.000000,0,Wednesday,1,8.215555555555556,39.86638888888889,48.081944444444446,1,2025-01
CR-107,Access request denied: Policy mismatch.,Data,Martin,Peter,Matrix,Service A,On Hold,Low,High,High,High,2025-01-01T03:45:06.000000,,,0,Wednesday,1,,,,0,2025-01
CR-108,Failed Workflow - ID: 0000,Data,Peter,Jan,Avengers II,Service C,Closed,High,High,Low,Medium,2025-01-01T19:23:16.000000,2025-01-02T03:56:35.000000,2025-01-03T20:11:23.000000,0,Wednesday,1,8.555277777777778,40.24666666666667,48.801944444444445,1,2025-01
CR-109,Login attempt from blacklisted IP address blocked.,Facilities,Iron Man,Captain America,Avengers,Service A,Closed,Medium,Low,Low,High,2025-01-01T13:09:21.000000,2025-01-01T15:59:41.000000,2025-01-03T10:16:42.000000,0,Wednesday,1,2.838888888888889,42.283611111111114,45.1225,0,2025-01
CR-110,Unpatched vulnerability flagged: CVE report mismatch detected.,Facilities,Michal,Thor,Avengers,Service A,On Hold,High,Medium,Medium,Low,2025-01-01T04:31:58.000000,,,0,Wednesday,1,,,,0,2025-01
CR-111,Performance report: Sluggish response times on application.,Hardware,Peter,Captain America,Matrix,Service B,New,High,Medium,Medium,High,2025-01-01T06:34:52.000000,,,0,Wednesday,1,,,,0,2025-01
CR-112,Locked account: Excessive password retry attempts.,Network,Iron Man,Thor,Avengers,Service B,Closed,Medium,Medium,Low,Low,2025-01-01T19:12:27.000000,2025-01-01T23:30:22.000000,2025-01-02T23:30:11.000000,0,Wednesday,1,4.298611111111111,23.996944444444445,28.295555555555556,0,2025-01
CR-113,Memory exhaustion detected: Application terminated unexpectedly.,Complaint,Captain America,Michal,Matrix,Service A,Closed,High,High,Medium,Low,2025-01-01T06:15:09.000000,2025-01-01T11:21:02.000000,2025-01-02T10:53:56.000000,1,Wednesday,0,5.098055555555556,23.548333333333332,28.64638888888889,1,2025-01
CR-114,Network congestion: High bandwidth usage flagged.,Failure,Martin,Iron Man,Avengers II,Service B,Closed,High,Low,Low,Low,2025-01-01T04:47:00.000000,2025-01-01T12:03:27.000000,2025-01-01T21:26:30.000000,0,Wednesday,1,7.274166666666667,9.384166666666667,16.658333333333335,0,2025-01
CR-115,Unusual system reboot detected on DevOps environment.,Facilities,Captain America,Iron Man,Matrix,Service A,Closed,High,High,High,High,2025-01-01T13:58:33.000000,2025-01-01T16:24:27.000000,2025-01-02T10:12:40.000000,0,Wednesday,1,2.4316666666666666,17.80361111111111,20.235277777777778,1,2025-01
CR-116,Database schema corruption: Unable to read or query data tables.,Network,Michal,Peter,Avengers II,Service B,Closed,Low,Medium,High,High,2025-01-01T01:39:30.000000,2025-01-01T07:39:07.000000,2025-01-02T14:31:42.000000,0,Wednesday,1,5.993611111111111,30.87638888888889,36.87,1,2025-01
CR-117,Critical alert: Database server overload detected.,Data,Thor,Michal,Avengers II,Service B,Closed,Medium,Low,High,Low,2025-01-01T06:16:13.000000,2025-01-01T08:54:31.000000,2025-01-02T19:34:30.000000,0,Wednesday,1,2.638333333333333,34.66638888888889,37.304722222222225,0,2025-01
CR-118,Login attempt from blacklisted IP address blocked.,Facilities,Captain America,Michal,Avengers II,Service A,Closed,Medium,Medium,High,Medium,2025-01-01T00:53:25.000000,2025-01-01T09:13:03.000000,2025-01-02T22:36:34.000000,0,Wednesday,1,8.327222222222222,37.39194444444444,45.719166666666666,1,2025-01
CR-119,Malware detected on endpoint: Quarantine initiated.,Failure,Iron Man,Martin,Avengers II,Service B,Closed,High,Low,Medium,Medium,2025-01-02T04:54:23.000000,2025-01-02T13:45:29.000000,2025-01-03T11:21:02.000000,0,Thursday,1,8.851666666666667,21.5925,30.444166666666668,0,2025-01
CR-120,VPN connection failure: Unable to securely tunnel data.,Access,Thor,Jan,Avengers,Service A,Closed,Low,Medium,Low,High,2025-01-02T03:19:02.000000,2025-01-02T09:32:57.000000,2025-01-03T03:34:35.000000,1,Thursday,0,6.231944444444444,18.02722222222222,24.259166666666665,0,2025-01
CR-121,USB device blocked: Removable media protection active.,Facilities,Iron Man,Peter,Avengers,Service B,Closed,Medium,Medium,Low,High,2025-01-02T03:21:25.000000,2025-01-02T09:05:58.000000,2025-01-03T07:08:06.000000,1,Thursday,0,5.7425,22.035555555555554,27.778055555555557,0,2025-01
CR-122,Unpatched vulnerability flagged: CVE report mismatch detected.,Failure,Jan,Peter,Avengers,Service B,Closed,Low,Medium,Medium,High,2025-01-02T18:50:50.000000,2025-01-03T00:52:05.000000,2025-01-04T20:57:56.000000,0,Thursday,1,6.020833333333333,44.0975,50.11833333333333,1,2025-01
CR-123,Security patch missing: Update not applied on critical server.,Access,Michal,Iron Man,Avengers,Service A,Closed,Low,High,Medium,High,2025-01-02T11:25:16.000000,2025-01-02T17:17:59.000000,2025-01-02T23:40:10.000000,0,Thursday,1,5.878611111111111,6.369722222222222,12.248333333333333,0,2025-01
CR-124,Suspicious login activity detected: High volume of logins from Device B.,Complaint,Michal,Captain America,Avengers,Service C,Closed,Medium,Low,Low,Medium,2025-01-02T07:12:19.000000,2025-01-02T10:47:56.000000,2025-01-03T17:35:34.000000,1,Thursday,0,3.593611111111111,30.79388888888889,34.3875,0,2025-01
CR-125,Network scanning tool triggered security alert.,Hardware,Iron Man,Peter,Avengers II,Service A,In Progress,Low,High,Low,Medium,2025-01-02T15:05:48.000000,2025-01-02T20:07:37.000000,,1,Thursday,0,5.030277777777778,,,0,2025-01
CR-126,Failed packet inspection: Firewall rules misconfigured.,Data,Martin,Martin,Avengers,Service A,Closed,Low,High,Low,High,2025-01-02T14:30:30.000000,2025-01-02T21:08:34.000000,2025-01-04T01:22:33.000000,0,Thursday,1,6.634444444444444,28.233055555555556,34.8675,1,2025-01
CR-127,Security patch applied: Monitoring for any issues.,Failure,Martin,Iron Man,Matrix,Service B,Closed,Medium,High,High,Medium,2025-01-02T21:42:56.000000,2025-01-03T01:42:21.000000,2025-01-03T19:12:41.000000,0,Thursday,1,3.9902777777777776,17.505555555555556,21.495833333333334,1,2025-01
CR-128,Failed malware removal: Corrupted file system detected.,Software,Michal,Captain America,Avengers,Service A,Closed,High,Low,Low,Low,2025-01-02T00:52:55.000000,2025-01-02T03:03:36.000000,2025-01-02T17:07:05.000000,0,Thursday,1,2.1780555555555554,14.058055555555555,16.23611111111111,0,2025-01
CR-129,Power failure simulation triggered during red team activity.,Software,Iron Man,Captain America,Avengers,Service A,Closed,Medium,High,Medium,Low,2025-01-02T17:02:01.000000,2025-01-02T22:02:50.000000,2025-01-04T05:29:24.000000,0,Thursday,1,5.0136111111111115,31.442777777777778,36.45638888888889,1,2025-01
CR-130,Unauthorized access attempt detected: IP flagged as suspicious.,Failure,Martin,Peter,Matrix,Service A,Closed,Low,High,High,Low,2025-01-02T20:38:40.000000,2025-01-03T04:33:35.000000,2025-01-04T08:18:03.000000,0,Thursday,1,7.915277777777778,27.74111111111111,35.65638888888889,1,2025-01
CR-131,User permission escalation detected on cloud platform.,Access,Jan,Iron Man,Matrix,Service C,Closed,Medium,Medium,Medium,Medium,2025-01-02T08:01:40.000000,2025-01-02T17:00:34.000000,2025-01-03T15:44:05.000000,1,Thursday,0,8.981666666666667,22.725277777777777,31.706944444444446,0,2025-01
CR-132,Web server certificate expired: Issue flagged for priority teams.,Facilities,Jan,Peter,Matrix,Service C,New,High,High,Medium,High,2025-01-02T00:07:22.000000,,,1,Thursday,0,,,,0,2025-01
CR-133,Data exfiltration alert: High outbound traffic flagged.,Network,Martin,Peter,Matrix,Service A,Closed,Medium,High,Medium,Low,2025-01-02T19:04:59.000000,2025-01-02T23:45:34.000000,2025-01-04T10:22:57.000000,0,Thursday,1,4.676388888888889,34.62305555555555,39.29944444444445,1,2025-01
CR-134,Expired password reset request: User notified.,Failure,Thor,Michal,Avengers II,Service A,Closed,Medium,Low,Medium,Low,2025-01-02T02:13:44.000000,2025-01-02T09:31:24.000000,2025-01-03T14:41:09.000000,1,Thursday,0,7.294444444444444,29.1625,36.456944444444446,0,2025-01
CR-135,Security patch missing: Update not applied on critical server.,Complaint,Jan,Jan,Avengers,Service B,Closed,Medium,Medium,High,Low,2025-01-02T05:52:25.000000,2025-01-02T09:41:19.000000,2025-01-02T23:22:23.000000,0,Thursday,1,3.815,13.684444444444445,17.499444444444446,0,2025-01
CR-136,Unscheduled software change: Application version rolled back.,Facilities,Martin,Thor,Avengers II,Service A,Closed,Low,High,High,High,2025-01-02T00:58:53.000000,2025-01-02T06:25:03.000000,2025-01-03T15:49:07.000000,1,Thursday,0,5.436111111111111,33.40111111111111,38.83722222222222,1,2025-01
CR-137,SOC analyst triggered investigation for suspicious server activity.,Complaint,Jan,Captain America,Matrix,Service B,New,High,High,High,High,2025-01-02T20:48:14.000000,,,1,Thursday,0,,,,0,2025-01
CR-138,Network issue: Unable to connect to external API.,Software,Michal,Jan,Avengers,Service A,Closed,Medium,Low,Medium,High,2025-01-02T22:40:35.000000,2025-01-03T04:32:41.000000,2025-01-04T06:33:09.000000,0,Thursday,1,5.868333333333333,26.00777777777778,31.87611111111111,0,2025-01
CR-139,Critical alert: Database server overload detected.,Data,Martin,Iron Man,Avengers,Service C,Closed,Medium,Low,Medium,Medium,2025-01-02T09:26:40.000000,2025-01-02T12:31:35.000000,2025-01-02T17:39:57.000000,0,Thursday,1,3.0819444444444444,5.139444444444444,8.221388888888889,0,2025-01
CR-140,SOC analyst triggered investigation for suspicious server activity.,Complaint,Michal,Iron Man,Avengers II,Service C,Closed,Low,High,Low,High,2025-01-02T06:44:19.000000,2025-01-02T13:42:13.000000,2025-01-03T01:39:33.000000,0,Thursday,1,6.965,11.955555555555556,18.920555555555556,1,2025-01
CR-141,Unscheduled file deletion detected on shared drive.,Hardware,Peter,Captain America,Avengers,Service C,Closed,Low,High,Low,Low,2025-01-02T07:03:01.000000,2025-01-02T13:07:04.000000,2025-01-04T08:11:53.000000,1,Thursday,0,6.0675,43.08027777777778,49.147777777777776,1,2025-01
CR-142,Cross-site scripting (XSS) detected on customer portal.,Failure,Captain America,Captain America,Avengers II,Service C,Closed,High,High,Medium,Medium,2025-01-02T00:01:01.000000,2025-01-02T03:41:11.000000,2025-01-03T14:14:38.000000,0,Thursday,1,3.6694444444444443,34.5575,38.22694444444444,1,2025-01
CR-143,Unencrypted sensitive file shared externally.,Data,Michal,Jan,Avengers,Service A,On Hold,Low,Low,Medium,Low,2025-01-02T05:32:17.000000,,,0,Thursday,1,,,,0,2025-01
CR-144,Antivirus disabled on workstation: Protection compromised.,Network,Iron Man,Martin,Avengers II,Service C,Closed,Low,Medium,High,Low,2025-01-02T09:56:55.000000,2025-01-02T13:25:42.000000,2025-01-03T06:08:34.000000,0,Thursday,1,3.479722222222222,16.714444444444446,20.194166666666668,0,2025-01
CR-145,Security patch applied: Monitoring for any issues.,Hardware,Thor,Michal,Avengers,Service C,Closed,Medium,Medium,Low,Medium,2025-01-02T03:08:52.000000,2025-01-02T10:33:51.000000,2025-01-02T18:19:23.000000,0,Thursday,1,7.416388888888889,7.7588888888888885,15.175277777777778,0,2025-01
CR-146,Failed cloud synchronization: Files cannot be uploaded.,Data,Thor,Peter,Matrix,Service B,Closed,Medium,High,Low,Medium,2025-01-02T00:26:03.000000,2025-01-02T05:07:01.000000,2025-01-02T15:21:42.000000,0,Thursday,1,4.682777777777778,10.244722222222222,14.9275,1,2025-01
CR-147,Database transaction rollback error flagged for audit.,Software,Jan,Captain America,Avengers,Service A,Closed,High,Medium,High,Low,2025-01-02T19:28:54.000000,2025-01-02T23:36:06.000000,2025-01-03T02:24:24.000000,1,Thursday,0,4.12,2.805,6.925,0,2025-01
CR-148,Data download from personal device flagged for review.,Complaint,Thor,Captain America,Avengers II,Service B,Closed,High,High,High,Medium,2025-01-02T23:16:31.000000,2025-01-03T06:31:23.000000,2025-01-05T03:27:04.000000,1,Thursday,0,7.247777777777777,44.92805555555555,52.17583333333334,1,2025-01
CR-149,Antivirus disabled on workstation: Protection compromised.,Network,Martin,Thor,Matrix,Service C,Closed,Medium,Medium,Low,Medium,2025-01-02T11:10:48.000000,2025-01-02T19:43:20.000000,2025-01-03T20:54:12.000000,1,Thursday,0,8.542222222222222,25.18111111111111,33.723333333333336,1,2025-01
CR-150,Antivirus disabled on workstation: Protection compromised.,Complaint,Iron Man,Martin,Avengers II,Service A,Closed,Low,Medium,Low,Medium,2025-01-02T01:51:57.000000,2025-01-02T06:04:56.000000,2025-01-03T14:25:31.000000,0,Thursday,1,4.216388888888889,32.34305555555556,36.559444444444445,1,2025-01
CR-151,Performance report: Sluggish response times on application.,Software,Martin,Captain America,Avengers II,Service B,Closed,High,High,Medium,High,2025-01-02T00:02:29.000000,2025-01-02T03:48:35.000000,2025-01-02T09:30:21.000000,0,Thursday,1,3.7683333333333335,5.696111111111111,9.464444444444444,0,2025-01
CR-152,Login attempt from blacklisted IP address blocked.,Network,Martin,Michal,Avengers,Service A,Closed,High,Low,Low,Medium,2025-01-02T03:02:49.000000,2025-01-02T05:48:34.000000,2025-01-03T05:32:42.000000,1,Thursday,0,2.7625,23.735555555555557,26.498055555555556,0,2025-01
CR-153,Unauthorized access attempt detected: IP flagged as suspicious.,Hardware,Captain America,Captain America,Matrix,Service C,Closed,Low,High,High,High,2025-01-02T11:13:33.000000,2025-01-02T15:05:57.000000,2025-01-04T08:57:18.000000,0,Thursday,1,3.8733333333333335,41.85583333333334,45.729166666666664,1,2025-01
CR-154,DDoS attack detected: High traffic spotted on critical service.,Network,Michal,Iron Man,Matrix,Service A,Closed,Low,Low,High,Medium,2025-01-02T20:00:57.000000,2025-01-03T04:35:58.000000,2025-01-04T20:43:29.000000,1,Thursday,0,8.58361111111111,40.125277777777775,48.708888888888886,0,2025-01
CR-155,Failed Healthcheck - ID: 111-222-333-444-555 Host: ,Access,Thor,Martin,Matrix,Service A,Closed,High,Medium,Low,Low,2025-01-02T04:07:25.000000,2025-01-02T08:50:55.000000,2025-01-02T18:13:29.000000,1,Thursday,0,4.725,9.376111111111111,14.101111111111111,0,2025-01
CR-156,Locked account: Excessive password retry attempts.,Complaint,Iron Man,Peter,Matrix,Service C,Closed,High,Low,High,High,2025-01-02T17:51:22.000000,2025-01-02T23:59:04.000000,2025-01-03T07:57:13.000000,0,Thursday,1,6.128333333333333,7.969166666666666,14.0975,0,2025-01
CR-157,Locked account: Excessive password retry attempts.,Failure,Jan,Captain America,Matrix,Service C,Closed,Low,Medium,Low,Low,2025-01-02T00:07:01.000000,2025-01-02T04:45:24.000000,2025-01-02T08:55:09.000000,0,Thursday,1,4.639722222222222,4.1625,8.802222222222222,0,2025-01
CR-158,Unpatched vulnerability flagged: CVE report mismatch detected.,Failure,Peter,Peter,Avengers,Service B,On Hold,High,Medium,High,Low,2025-01-02T15:59:24.000000,,,0,Thursday,1,,,,0,2025-01
CR-159,Ransomware execution blocked by endpoint protection.,Facilities,Thor,Captain America,Avengers II,Service C,Closed,Low,Low,High,Medium,2025-01-02T14:11:20.000000,2025-01-02T17:00:51.000000,2025-01-03T13:13:44.000000,1,Thursday,0,2.8252777777777776,20.21472222222222,23.04,0,2025-01
CR-160,Security patch missing: Update not applied on critical server.,Hardware,Michal,Martin,Avengers II,Service A,Closed,Medium,Low,Low,Low,2025-01-02T10:11:39.000000,2025-01-02T17:49:57.000000,2025-01-02T19:54:37.000000,0,Thursday,1,7.638333333333334,2.077777777777778,9.716111111111111,0,2025-01
CR-161,Ransomware execution blocked by endpoint protection.,Software,Martin,Michal,Matrix,Service A,Closed,High,High,Medium,High,2025-01-02T12:03:17.000000,2025-01-02T15:31:56.000000,2025-01-03T09:57:57.000000,0,Thursday,1,3.4775,18.433611111111112,21.91111111111111,1,2025-01
CR-162,Unscheduled file deletion detected on shared drive.,Software,Captain America,Peter,Avengers II,Service A,Closed,Medium,Medium,Low,Low,2025-01-02T18:02:30.000000,2025-01-02T22:13:50.000000,2025-01-03T02:01:25.000000,1,Thursday,0,4.188888888888889,3.7930555555555556,7.981944444444444,0,2025-01
CR-163,Keylogger activity detected on user's workstation.,Access,Jan,Iron Man,Avengers,Service B,On Hold,Medium,Medium,Medium,High,2025-01-02T06:54:00.000000,,,0,Thursday,1,,,,0,2025-01
